ASX listed companies as at Thu May 17 19:45:06 AEST 2018

Company name,ASX code,GICS industry group
"MOQ LIMITED","MOQ","Software & Services"
"1-PAGE LIMITED","1PG","Software & Services"
"1300 SMILES LIMITED","ONT","Health Care Equipment & Services"
"1414 DEGREES LIMITED","14D","Class Pend"
"1ST GROUP LIMITED","1ST","Health Care Equipment & Services"
"333D LIMITED","T3D","Commercial & Professional Services"
"360 CAPITAL GROUP","TGP","Real Estate"
"360 CAPITAL TOTAL RETURN FUND","TOT","Not Applic"
"3D OIL LIMITED","TDO","Energy"
"3D RESOURCES LIMITED","DDD","Materials"
"3P LEARNING LIMITED..","3PL","Consumer Services"
"4DS MEMORY LIMITED","4DS","Semiconductors & Semiconductor Equipment"
"5G NETWORKS LIMITED","5GN","Telecommunication Services"
"88 ENERGY LIMITED","88E","Energy"
"8COMMON LIMITED","8CO","Software & Services"
"8I HOLDINGS LTD","8IH","Diversified Financials"
"8IP EMERGING COMPANIES LIMITED","8EC","Not Applic"
"9 SPOKES INTERNATIONAL LIMITED","9SP","Software & Services"
"99 WUXIAN LIMITED","NNW","Retailing"
"A-CAP RESOURCES LIMITED","ACB","Energy"
"A.C.N. 004 410 833 LIMITED","ARI","Materials"
"A.C.N. 112 682 158 LIMITED","BCL","Energy"
"A1 INVESTMENTS & RESOURCES LTD","AYI","Diversified Financials"
"ABACUS PROPERTY GROUP","ABP","Real Estate"
"ABILENE OIL AND GAS LIMITED","ABL","Energy"
"ABM RESOURCES NL","ABU","Materials"
"ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","AEG","Not Applic"
"ABUNDANT PRODUCE LIMITED","ABT","Food, Beverage & Tobacco"
"ACACIA COAL LIMITED","AJC","Energy"
"ACADEMIES AUSTRALASIA GROUP LIMITED","AKG","Consumer Services"
"ACCELERATE RESOURCES LIMITED","AX8","Not Applic"
"ACCENT GROUP LIMITED","AX1","Retailing"
"ACCENT RESOURCES NL","ACS","Materials"
"ACORN CAPITAL INVESTMENT FUND LIMITED","ACQ","Not Applic"
"ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","ACF","Capital Goods"
"ACRUX LIMITED","ACR","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTINOGEN MEDICAL LIMITED","ACW","Pharmaceuticals, Biotechnology & Life Sciences"
"ACTIVEX LIMITED","AIV","Materials"
"ADACEL TECHNOLOGIES LIMITED","ADA","Software & Services"
"ADAIRS LIMITED","ADH","Retailing"
"ADALTA LIMITED","1AD","Pharmaceuticals, Biotechnology & Life Sciences"
"ADAVALE RESOURCES LIMITED","ADD","Energy"
"ADCORP AUSTRALIA LIMITED","AAU","Media"
"ADELAIDE BRIGHTON LIMITED","ABC","Materials"
"ADHERIUM LIMITED","ADR","Health Care Equipment & Services"
"ADMEDUS LTD","AHZ","Health Care Equipment & Services"
"ADMIRALTY RESOURCES NL.","ADY","Materials"
"ADRIATIC METALS PLC","ADT","Materials"
"ADSLOT LTD","ADJ","Software & Services"
"ADVANCE NANOTEK LIMITED","ANO","Materials"
"ADVANCED BRAKING TECHNOLOGY LTD","ABV","Automobiles & Components"
"ADVANCED SHARE REGISTRY LIMITED","ASW","Diversified Financials"
"ADX ENERGY LTD","ADX","Energy"
"AEERIS LTD","AER","Software & Services"
"AEON METALS LIMITED.","AML","Materials"
"AERIS ENVIRONMENTAL LTD","AEI","Commercial & Professional Services"
"AERIS RESOURCES LIMITED","AIS","Materials"
"AFRICAN ENERGY RESOURCES LIMITED","AFR","Energy"
"AFT CORPORATION LIMITED","AFT","Capital Goods"
"AFT PHARMACEUTICALS LIMITED","AFP","Pharmaceuticals, Biotechnology & Life Sciences"
"AFTERPAY TOUCH GROUP LIMITED","APT","Software & Services"
"AGL ENERGY LIMITED.","AGL","Utilities"
"AGRICULTURAL LAND TRUST","AGJ","Real Estate"
"AGRIMIN LIMITED","AMN","Materials"
"AGUIA RESOURCES LIMITED","AGR","Materials"
"AHALIFE HOLDINGS LIMITED","AHL","Software & Services"
"AIC RESOURCES LIMITED","A1C","Materials"
"AIMS PROPERTY SECURITIES FUND","APW","Real Estate"
"AINSWORTH GAME TECHNOLOGY LIMITED","AGI","Consumer Services"
"AIR NEW ZEALAND LIMITED","AIZ","Transportation"
"AIRXPANDERS, INC.","AXP","Health Care Equipment & Services"
"AJ LUCAS GROUP LIMITED","AJL","Capital Goods"
"ALACER GOLD CORP.","AQG","Materials"
"ALARA RESOURCES LIMITED","AUQ","Materials"
"ALCHEMIA LIMITED","ACL","Pharmaceuticals, Biotechnology & Life Sciences"
"ALCHEMY RESOURCES LIMITED","ALY","Materials"
"ALCIDION GROUP LIMITED","ALC","Health Care Equipment & Services"
"ALDERAN RESOURCES LIMITED","AL8","Materials"
"ALE PROPERTY GROUP","LEP","Real Estate"
"ALEXIUM INTERNATIONAL GROUP LIMITED","AJX","Materials"
"ALGAE.TEC LIMITED","AEB","Energy"
"ALICANTO MINERALS LIMITED","AQI","Materials"
"ALICE QUEEN LIMITED","AQX","Energy"
"ALKANE RESOURCES LIMITED","ALK","Materials"
"ALLEGIANCE COAL LIMITED","AHQ","Materials"
"ALLEGRA ORTHOPAEDICS LIMITED","AMT","Health Care Equipment & Services"
"ALLIANCE AVIATION SERVICES LIMITED","AQZ","Transportation"
"ALLIANCE RESOURCES LIMITED","AGS","Materials"
"ALLIGATOR ENERGY LIMITED","AGE","Energy"
